0.000000,0.862471,0.0619675,0,10,20,30,40,0.000000
0.010000,0.862471,0.0619675,0,10,20,30,40,5.000000
0.020000,0.862471,0.0619675,0,10,20,30,40,5.000000
0.030000,0.862471,0.0619675,-8.62471e-05,10,20,30,40,5.000086
0.040000,0.862471,0.0619675,-0.000258688,10,20,30,40,4.999741
0.050000,0.862471,0.0619675,-0.000517269,10,20,30,40,5.000517
0.060000,0.862471,0.0619675,-0.000861937,10,20,30,40,5.000862
0.070000,0.862471,0.0619675,-0.00129264,10,20,30,40,5.001293
0.080000,0.862471,0.0619675,-0.00180932,10,20,30,40,5.001809
0.090000,0.862471,0.0619675,-0.00241193,10,20,30,40,4.997588
0.100000,0.862471,0.0619675,-0.00310041,10,20,30,40,4.996900
0.110000,0.862471,0.0619675,-0.00387471,10,20,30,40,5.003875
0.120000,0.862471,0.0619675,-0.00473479,10,20,30,40,5.004735
0.130000,0.862471,0.0619675,-0.00568057,10,20,30,40,5.005681
0.140000,0.862471,0.0619675,-0.00671202,10,20,30,40,4.993288
0.150000,0.862471,0.0619675,-0.00782907,10,20,30,40,4.992171
0.160000,0.862471,0.0619675,-0.00903168,10,20,30,40,4.990968
0.170000,0.862471,0.0619675,-0.0103198,10,20,30,40,5.010320
0.180000,0.862471,0.0619675,-0.0116933,10,20,30,40,5.011693
0.190000,0.862471,0.0619675,-0.0131523,10,20,30,40,5.013152
0.200000,0.862471,0.0619675,-0.0146966,10,20,30,40,5.014697
0.210000,0.862471,0.0619675,-0.0163262,10,20,30,40,5.016326
0.220000,0.862471,0.0619675,-0.018041,10,20,30,40,4.981959
0.230000,0.862471,0.0619675,-0.019841,10,20,30,40,4.980159
0.240000,0.862471,0.0619675,-0.0217262,10,20,30,40,4.978274
0.250000,0.862471,0.0619675,-0.0236964,10,20,30,40,4.976304
0.260000,0.862471,0.0619675,-0.0257516,10,20,30,40,4.974248
0.270000,0.862471,0.0619675,-0.0278919,10,20,30,40,5.027892
0.280000,0.862471,0.0619675,-0.030117,10,20,30,40,4.969883
0.290000,0.862471,0.0619675,-0.032427,10,20,30,40,5.032427
0.300000,0.862471,0.0619675,-0.0348218,10,20,30,40,4.965178
0.310000,0.862471,0.0619675,-0.0373014,10,20,30,40,4.962699
0.320000,0.862471,0.0619675,-0.0398657,10,20,30,40,4.960134
0.330000,0.862471,0.0619675,-0.0425147,10,20,30,40,4.957485
0.340000,0.862471,0.0619675,-0.0452482,10,20,30,40,5.045248
0.350000,0.862471,0.0619675,-0.0480664,10,20,30,40,4.951934
0.360000,0.862471,0.0619675,-0.050969,10,20,30,40,5.050969
0.370000,0.862471,0.0619675,-0.053956,10,20,30,40,4.946044
0.380000,0.862471,0.0619675,-0.0570275,10,20,30,40,4.942972
0.390000,0.862471,0.0619675,-0.0601833,10,20,30,40,4.939817
0.400000,0.862471,0.0619675,-0.0634234,10,20,30,40,4.936577
0.410000,0.862471,0.0619675,-0.0667477,10,20,30,40,5.066748
0.420000,0.862471,0.0619675,-0.0701563,10,20,30,40,4.929844
0.430000,0.862471,0.0619675,-0.0736489,10,20,30,40,5.073649
0.440000,0.862471,0.0619675,-0.0772257,10,20,30,40,5.077226
0.450000,0.862471,0.0619675,-0.0808864,10,20,30,40,5.080886
0.460000,0.862471,0.0619675,-0.0846312,10,20,30,40,5.084631
0.470000,0.862471,0.0619675,-0.0884599,10,20,30,40,5.088460
0.480000,0.862471,0.0619675,-0.0923724,10,20,30,40,4.907628
0.490000,0.862471,0.0619675,-0.0963688,10,20,30,40,4.903631
0.500000,0.862471,0.0619675,-0.100449,10,20,30,40,5.100449
0.510000,0.862471,0.0619675,-0.104613,10,20,30,40,4.895387
0.520000,0.862471,0.0619675,-0.10886,10,20,30,40,5.108860
0.530000,0.862471,0.0619675,-0.113191,10,20,30,40,5.113191
0.540000,0.862471,0.0619675,-0.117606,10,20,30,40,5.117606
0.550000,0.862471,0.0619675,-0.122104,10,20,30,40,4.877896
