0.000000,0.940077,0.15026,0,10,20,30,40,0.000000
0.010000,0.940077,0.15026,0,10,20,30,40,5.000000
0.020000,0.940077,0.15026,0,10,20,30,40,5.000000
0.030000,0.940077,0.15026,-9.40077e-05,10,20,30,40,5.000000
0.040000,0.940077,0.15026,-0.000281882,10,20,30,40,5.000000
0.050000,0.940077,0.15026,-0.000563481,10,20,30,40,5.000000
0.060000,0.940077,0.15026,-0.000938666,10,20,30,40,5.000000
0.070000,0.940077,0.15026,-0.00140729,10,20,30,40,5.000000
0.080000,0.940077,0.15026,-0.00196923,10,20,30,40,5.000000
0.090000,0.940077,0.15026,-0.00262432,10,20,30,40,5.000000
0.100000,0.940077,0.15026,-0.00337244,10,20,30,40,5.000000
0.110000,0.940077,0.15026,-0.00421344,10,20,30,40,5.000000
0.120000,0.940077,0.15026,-0.00514719,10,20,30,40,5.000000
0.130000,0.940077,0.15026,-0.00617354,10,20,30,40,5.000000
0.140000,0.940077,0.15026,-0.00729235,10,20,30,40,5.000000
0.150000,0.940077,0.15026,-0.0085035,10,20,30,40,5.000000
0.160000,0.940077,0.15026,-0.00980683,10,20,30,40,5.000000
0.170000,0.940077,0.15026,-0.0112022,10,20,30,40,5.000000
0.180000,0.940077,0.15026,-0.0126895,10,20,30,40,5.000000
0.190000,0.940077,0.15026,-0.0142686,10,20,30,40,5.000000
0.200000,0.940077,0.15026,-0.0159393,10,20,30,40,5.000000
0.210000,0.940077,0.15026,-0.0177015,10,20,30,40,5.000000
0.220000,0.940077,0.15026,-0.019555,10,20,30,40,5.000000
0.230000,0.940077,0.15026,-0.0214998,10,20,30,40,5.000000
0.240000,0.940077,0.15026,-0.0235357,10,20,30,40,5.000000
0.250000,0.940077,0.15026,-0.0256625,10,20,30,40,5.000000
0.260000,0.940077,0.15026,-0.0278801,10,20,30,40,5.000000
0.270000,0.940077,0.15026,-0.0301884,10,20,30,40,5.000000
0.280000,0.940077,0.15026,-0.0325872,10,20,30,40,5.000000
0.290000,0.940077,0.15026,-0.0350765,10,20,30,40,5.000000
0.300000,0.940077,0.15026,-0.037656,10,20,30,40,5.000000
0.310000,0.940077,0.15026,-0.0403256,10,20,30,40,5.000000
0.320000,0.940077,0.15026,-0.0430853,10,20,30,40,5.000000
0.330000,0.940077,0.15026,-0.0459348,10,20,30,40,5.000000
0.340000,0.940077,0.15026,-0.048874,10,20,30,40,5.000000
0.350000,0.940077,0.15026,-0.0519028,10,20,30,40,5.000000
0.360000,0.940077,0.15026,-0.0550211,10,20,30,40,5.000000
0.370000,0.940077,0.15026,-0.0582287,10,20,30,40,5.000000
0.380000,0.940077,0.15026,-0.0615255,10,20,30,40,5.000000
0.390000,0.940077,0.15026,-0.0649113,10,20,30,40,5.000000
0.400000,0.940077,0.15026,-0.068386,10,20,30,40,5.000000
0.410000,0.940077,0.15026,-0.0719496,10,20,30,40,5.000000
0.420000,0.940077,0.15026,-0.0756018,10,20,30,40,5.000000
0.430000,0.940077,0.15026,-0.0793425,10,20,30,40,5.000000
