0.000000,0.673058,0.319102,0,10,20,30,40,0.000000
0.010000,0.673058,0.319102,0,10,20,30,40,5.000000
0.020000,0.673058,0.319102,0,10,20,30,40,5.000000
0.030000,0.673058,0.319102,-6.73058e-05,10,20,30,40,5.000000
0.040000,0.673058,0.319102,-0.000201703,10,20,30,40,5.000000
0.050000,0.673058,0.319102,-0.000402976,10,20,30,40,5.000000
0.060000,0.673058,0.319102,-0.000670913,10,20,30,40,5.000000
0.070000,0.673058,0.319102,-0.0010053,10,20,30,40,5.000000
0.080000,0.673058,0.319102,-0.00140593,10,20,30,40,5.000000
0.090000,0.673058,0.319102,-0.00187258,10,20,30,40,5.000000
0.100000,0.673058,0.319102,-0.00240505,10,20,30,40,5.000000
0.110000,0.673058,0.319102,-0.00300313,10,20,30,40,5.000000
0.120000,0.673058,0.319102,-0.0036666,10,20,30,40,5.000000
0.130000,0.673058,0.319102,-0.00439527,10,20,30,40,5.000000
0.140000,0.673058,0.319102,-0.00518891,10,20,30,40,5.000000
0.150000,0.673058,0.319102,-0.00604733,10,20,30,40,5.000000
0.160000,0.673058,0.319102,-0.00697031,10,20,30,40,5.000000
0.170000,0.673058,0.319102,-0.00795766,10,20,30,40,5.000000
0.180000,0.673058,0.319102,-0.00900915,10,20,30,40,5.000000
0.190000,0.673058,0.319102,-0.0101246,10,20,30,40,5.000000
0.200000,0.673058,0.319102,-0.0113038,10,20,30,40,5.000000
0.210000,0.673058,0.319102,-0.0125465,10,20,30,40,5.000000
0.220000,0.673058,0.319102,-0.0138526,10,20,30,40,5.000000
0.230000,0.673058,0.319102,-0.0152218,10,20,30,40,5.000000
0.240000,0.673058,0.319102,-0.016654,10,20,30,40,5.000000
0.250000,0.673058,0.319102,-0.0181489,10,20,30,40,5.000000
0.260000,0.673058,0.319102,-0.0197063,10,20,30,40,5.000000
0.270000,0.673058,0.319102,-0.0213261,10,20,30,40,5.000000
0.280000,0.673058,0.319102,-0.023008,10,20,30,40,5.000000
0.290000,0.673058,0.319102,-0.0247518,10,20,30,40,5.000000
0.300000,0.673058,0.319102,-0.0265574,10,20,30,40,5.000000
0.310000,0.673058,0.319102,-0.0284245,10,20,30,40,5.000000
0.320000,0.673058,0.319102,-0.030353,10,20,30,40,5.000000
0.330000,0.673058,0.319102,-0.0323426,10,20,30,40,5.000000
